,user id,tweets content,created on,clean_tweet,sentiment_classification,textblob_analysis,vader_analysis,logreg_analysis,svm_analysis,ensemble_predict
0,CNN,Polls in South Carolina are minutes from closing as voters cast their ballots in a primary that could revive former VP Joe Biden's campaign and shake up a race that's been dominated by Sen. Bernie Sanders before the delegate-heavy contests on Super Tuesday https://t.co/3cS1eTmYKD,3/1/2020 7:50,poll south carolina minute closing voter cast ballot primary could revive former vp joe bidens campaign shake race thats dominate sen bernie sander delegate heavy contest super tuesday,0.0,1,1,0.0,0.0,0.0
1,CNN,The United States' top doctor has one simple request: Stop buying face masks. https://t.co/snFRhGANnD,3/1/2020 7:40,united state top doctor one simple request stop buying face mask,0.0,1,1,0.0,0.0,0.0
2,CNN,"Around 2 in 5 South Carolina voters in the Democratic primary named health care as the most important issue to their vote, according to preliminary exit poll results. https://t.co/KhpkETOZ3G",3/1/2020 7:33,around south carolina voter democratic primary name health care important issue vote accord preliminary exit poll result,0.0,1,1,0.0,0.0,0.0
3,CNN,"Alexa NegrÃ³n Luciano, a transgender woman, was killed in the city of Toa Baja in Puerto Rico earlier this week, sparking outrage and renewing a conversation about transphobia on the island https://t.co/89iS0AUL11",3/1/2020 7:27,alexa negr n luciano transgender woman kill city toa baja puerto rico earlier week spark outrage renew conversation transphobia island,-1.0,0,-1,-1.0,-1.0,-1.0
4,CNN,"The demographics of South Carolina's Democratic primary voters stand apart from the race's first three states, according to preliminary results from CNN's exit poll there today. https://t.co/UWV6vJhAsh",3/1/2020 7:17,demographic south carolina democratic primary voter stand apart race first three state accord preliminary result cnns exit poll today,0.0,1,0,0.0,0.0,0.0
5,CNN,"France's equivalent of the Oscars was thrown into turmoil after top awards were given to director Roman Polanski, who fled sentencing in the US in the 1970s after pleading guilty to having sex with a 13-year-old https://t.co/URCKDNVAzL",3/1/2020 7:10,france equivalent oscar throw turmoil top award give director roman polanski flee sentence u plead guilty sex year old,-1.0,1,1,-1.0,-1.0,-1.0
6,CNN,Democratic presidential candidate Michael Bloomberg will air a three-minute recorded address on the coronavirus outbreak on Sunday night. https://t.co/2DDWhialJW,3/1/2020 7:05,democratic presidential candidate michael bloomberg air three minute record address coronavirus outbreak sunday night,0.0,0,0,0.0,0.0,0.0
7,CNN,"Hong Kong is giving all adult permanent residents $1,200 https://t.co/YRiZRpJ38i",3/1/2020 6:55,hong kong give adult permanent resident,0.0,1,0,0.0,0.0,0.0
8,CNN,"Joe Coulombe, founder of the Trader Joe's chain that transformed the way Americans shop for groceries, died at his home in Pasadena, California, on Friday. He was 89. https://t.co/WOhqhKSgoI",3/1/2020 6:45,joe coulombe founder trader joes chain transform way americans shop grocery die home pasadena california friday,-1.0,0,-1,0.0,0.0,0.0
9,CNN,"A mother in Louisiana wrote a painfully honest obituary for her only child after he was shot and killed, writing that she hoped her words would show young people that ""the streets offer nothing but heartache, pain, and ultimately death."" https://t.co/7hVScb3RWC",3/1/2020 6:40,mother louisiana write painfully honest obituary child shoot kill writing hop word would show young people street offer nothing heartache pain ultimately death,-1.0,1,-1,-1.0,-1.0,-1.0
10,CNN,"Jif is releasing a limited-edition jar of GIF peanut butter that aims to ""settle the great debate"" over how to pronounce the looping image format https://t.co/nsjtmckPFx",3/1/2020 6:31,jif release limited edition jar gif peanut butter aim settle great debate pronounce looping image format,0.0,1,1,0.0,0.0,0.0
11,CNN,"Most people who contract the novel coronavirus ""will experience mild to moderate symptoms, and their treatment will be to remain at home, treating their symptoms, the way they would a severe cold or the flu,â HHS Secretary Alex Azar said. https://t.co/Y8ZPdM9EwV",3/1/2020 6:15,people contract novel coronavirus experience mild moderate symptom treatment remain home treat symptom way would severe cold flu hhs secretary alex azar say,0.0,-1,-1,0.0,0.0,0.0
12,CNN,"The South Carolina Democratic primary is today. 

Here's everything you need to know about how to watch CNN's coverage https://t.co/u66p1oZAc0",3/1/2020 6:05,south carolina democratic primary today everything need know watch cnns coverage,0.0,1,0,0.0,0.0,0.0
13,CNN,Washington Gov. Jay Inslee issued a state of emergency in response to new cases of coronavirus https://t.co/pLp1vgTfnK,3/1/2020 6:00,washington gov jay inslee issue state emergency response new case coronavirus,-1.0,1,-1,-1.0,-1.0,-1.0
14,CNN,"Heaven Fitch beat all the boys in the 106-pound weight class to become the first female wrestler to win a North Carolina high school championship, according to the state's athletic association https://t.co/i14T09Xgly https://t.co/rBJV85PteF",3/1/2020 5:45,heaven fitch beat boy pound weight class become first female wrestler win north carolina high school championship accord state athletic association,1.0,1,1,0.0,0.0,0.0
15,CNN,"Here's who spent the most on South Carolina TV and radio ads since Jan. 1, 2019, according to data from Kantar Media/CMAG:

â¢ Steyer: $22,480,869
â¢ Buttigieg: $2,750,261
â¢ Biden: $889,659
â¢ Sanders: $880,450

https://t.co/dCwxBml53y",3/1/2020 5:44,spend south carolina tv radio ad since jan accord data kantar medium cmag steyer buttigieg biden sander,0.0,0,0,0.0,0.0,0.0
16,CNN,"A man stole an ambulance in Philadelphia and led police officers on a chase for more than an hour Friday night, police said. https://t.co/WevWG1TW0A",3/1/2020 5:30,man steal ambulance philadelphia lead police officer chase hour friday night police say,-1.0,0,-1,-1.0,-1.0,-1.0
17,CNN,"Three people were injured in an apparent explosion that resulted in heavy fire at a business in downtown Los Angeles, authorities said https://t.co/Rwt1ybLdFU",3/1/2020 5:25,three people injure apparent explosion result heavy fire business downtown los angeles authority say,-1.0,-1,-1,-1.0,-1.0,-1.0
18,CNN,"Boeing's Starliner spacecraft, which was slated to begin flying NASA astronauts to the International Space Station this year, faces new questions about safety after a botched test flight in December https://t.co/HEGR1LBwXl",3/1/2020 5:21,boeings starliner spacecraft slat begin fly nasa astronaut international space station year face new question safety botched test flight december,-1.0,1,1,-1.0,-1.0,-1.0
19,CNN,Google jumped at the chance to share a new animated doodle on Leap Day https://t.co/o0AnTJkyCI,3/1/2020 5:10,google jump chance share new animate doodle leap day,0.0,1,1,0.0,0.0,0.0
20,CNN,"The Texas Democrat knew that by signing the Civil Rights Act of 1964, his party could lose the south forever. But it was a price he was willing to pay. Johnson vs. Goldwater on #RaceForWH, Sunday at 9 p.m. ET/PT https://t.co/INSYwYZzwY",3/1/2020 5:00,texas democrat know sign civil right act party could lose south forever price willing pay johnson v goldwater raceforwh sunday pm et pt,0.0,1,-1,0.0,0.0,0.0
21,CNN,The hit to the travel industry has the potential to become a major drag on the global economy if the coronavirus continues to spread around the world https://t.co/RoluDuMNU8,3/1/2020 4:30,hit travel industry potential become major drag global economy coronavirus continue spread around world,-1.0,-1,-1,-1.0,-1.0,-1.0
22,CNN,"The Iowa Democratic Party certified the results from the state's caucuses, with Pete Buttigieg slightly leading Bernie Sanders in state delegate equivalents. https://t.co/pAHKVo5p6P",3/1/2020 4:18,iowa democratic party certify result state caucus pete buttigieg slightly lead bernie sander state delegate equivalent,0.0,-1,1,0.0,0.0,0.0
23,CNN,"A warming planet has major ramifications on winter snowpack across the globe, including a long-term drying trend for many. That's a concern for winter sports enthusiasts and communities that depend on snow throughout the year. https://t.co/C03FQgEY4H",3/1/2020 4:00,warm planet major ramification winter snowpack across globe include long term dry trend many thats concern winter sport enthusiast community depend snow throughout year,0.0,1,1,0.0,0.0,0.0
24,CNN,"âThe risk at this time is low. The American public needs to go on with their normal lives,â CDC Director Dr. Robert Redfield says about coronavirus. https://t.co/HUJMemJ7EY https://t.co/Rsxw6TXm3p",3/1/2020 3:33,risk time low american public need go normal life cdc director dr robert redfield say coronavirus,0.0,1,-1,0.0,0.0,0.0
25,CNN,"Vice President Pence on coronavirus preparations in the US: âThe average American does not need to go out and buy a mask."" https://t.co/lfm5fsPX9F https://t.co/B0vj28q1t3",3/1/2020 3:28,vice president penny coronavirus preparation u average american need go buy mask,0.0,-1,0,0.0,0.0,0.0
26,CNN,"The US is advising Americans against travel to some parts of Italy and South Korea in response to coronavirus spread, Vice President Pence said https://t.co/lfm5fsPX9F https://t.co/YRG6UGyv9U",3/1/2020 3:24,u advise american travel part italy south korea response coronavirus spread vice president penny say,0.0,0,0,0.0,0.0,0.0
27,CNN,"âIâll be meeting personally with Taliban leaders in the not-too-distant future,â President Trump says after the US and Taliban signed a historic agreement that sets into motion the potential of a full withdrawal of US troops. https://t.co/bT72TggkvG https://t.co/2AdRTPzZDM",3/1/2020 3:03,meet personally taliban leader distant future president trump say u taliban sign historic agreement set motion potential full withdrawal u troop,0.0,1,1,0.0,0.0,0.0
28,CNN,"President Trump is addressing the media following news of the first confirmed coronavirus death on US soil. 

Watch on CNN: https://t.co/JAy0NN0D8r

Live updates: https://t.co/5M6Y0JmWya",3/1/2020 2:57,president trump address medium follow news first confirm coronavirus death u soil watch cnn,0.0,1,-1,0.0,0.0,0.0
29,CNN,"In a US Army first, 1,000 recruits took their enlistment oath from an Army astronaut 250 miles above Earth at the International Space Station https://t.co/LBnLIASOt6 https://t.co/GCN1WBOXBD",3/1/2020 2:50,u army first recruit take enlistment oath army astronaut mile earth international space station,0.0,1,0,0.0,0.0,0.0
30,CNN,"BREAKING: The first death in the US from the novel coronavirus was confirmed in Washington state, health officials said. 
https://t.co/Kf3xlImKL1",3/1/2020 2:33,break first death u novel coronavirus confirm washington state health official say,-1.0,1,-1,-1.0,-1.0,-1.0
31,CNN,"The best protection against coronavirus is washing your hands -- but you have to do it properly:

ð¿  Wet your hands

ð¿  Lather, making sure to get soap in all the nooks and crannies 

ð¿  Scrub for *20 seconds*

ð¿  Rinse and *dry thoroughly*

https://t.co/gCnVboJn9U",3/1/2020 2:20,best protection coronavirus wash hand properly wet hand lather make sure get soap nook cranny scrub second rinse dry thoroughly,1.0,1,1,1.0,1.0,1.0
